zone_id,timestamp,temperature,humidity,wind_speed,air_quality
Zone01,2024-01-01T00:00:00,29.25,67.37,3.25,39.52
Zone02,2024-01-01T00:00:00,28.49,55.09,4.24,74.99
Zone03,2024-01-01T00:00:00,20.59,56.89,2.97,44.51
Zone04,2024-01-01T00:00:00,20.98,53.29,3.48,53.88
Zone05,2024-01-01T00:00:00,22.42,37.6,3.14,74.22
Zone06,2024-01-01T00:00:00,27.54,66.11,4.01,43.71
Zone07,2024-01-01T00:00:00,27.53,69.85,4.92,51.47
Zone08,2024-01-01T00:00:00,24.96,66.93,3.94,60.28
Zone09,2024-01-01T00:00:00,24.49,51.51,2.51,67.62
Zone10,2024-01-01T00:00:00,28.09,46.78,2.45,58.94
Zone11,2024-01-01T00:00:00,23.05,62.26,3.11,49.0
Zone12,2024-01-01T00:00:00,24.18,76.5,2.44,38.7
Zone01,2024-01-01T00:30:00,22.09,58.38,3.7,30.81
Zone02,2024-01-01T00:30:00,26.05,64.07,2.43,50.13
Zone03,2024-01-01T00:30:00,24.35,84.09,2.35,58.85
Zone04,2024-01-01T00:30:00,26.1,64.28,2.07,39.08
Zone05,2024-01-01T00:30:00,25.66,46.68,2.43,69.27
Zone06,2024-01-01T00:30:00,23.83,40.55,4.63,42.64
Zone07,2024-01-01T00:30:00,31.53,71.01,4.1,34.02
Zone08,2024-01-01T00:30:00,24.61,57.26,2.56,46.16
Zone09,2024-01-01T00:30:00,23.85,68.5,2.44,58.03
Zone10,2024-01-01T00:30:00,23.69,60.17,1.42,52.4
Zone11,2024-01-01T00:30:00,26.74,49.08,0.92,26.72
Zone12,2024-01-01T00:30:00,24.34,80.26,3.74,55.24
Zone01,2024-01-01T01:00:00,21.84,64.93,2.61,61.86
Zone02,2024-01-01T01:00:00,21.18,55.57,2.37,59.96
Zone03,2024-01-01T01:00:00,23.7,40.29,1.02,50.71
Zone04,2024-01-01T01:00:00,24.37,62.13,2.86,45.16
Zone05,2024-01-01T01:00:00,23.15,76.3,3.88,33.98
Zone06,2024-01-01T01:00:00,26.7,67.29,2.13,46.48
Zone07,2024-01-01T01:00:00,24.35,38.14,3.59,42.36
Zone08,2024-01-01T01:00:00,23.06,67.33,3.57,46.11
Zone09,2024-01-01T01:00:00,24.42,69.38,3.47,59.91
Zone10,2024-01-01T01:00:00,24.39,61.41,3.4,14.21
Zone11,2024-01-01T01:00:00,23.19,78.25,1.64,53.52
Zone12,2024-01-01T01:00:00,23.27,58.02,2.77,32.99
Zone01,2024-01-01T01:30:00,28.59,63.07,5.09,53.28
Zone02,2024-01-01T01:30:00,25.23,59.72,3.95,31.18
Zone03,2024-01-01T01:30:00,22.98,55.23,2.99,51.14
Zone04,2024-01-01T01:30:00,21.75,52.99,2.72,48.48
Zone05,2024-01-01T01:30:00,28.35,60.81,3.18,53.55
Zone06,2024-01-01T01:30:00,29.35,65.39,3.8,73.46
Zone07,2024-01-01T01:30:00,22.62,74.53,3.51,29.16
Zone08,2024-01-01T01:30:00,22.76,53.79,3.43,52.13
Zone09,2024-01-01T01:30:00,26.94,73.99,3.09,45.08
Zone10,2024-01-01T01:30:00,24.59,54.0,2.75,39.74
Zone11,2024-01-01T01:30:00,30.7,50.81,2.08,30.25
Zone12,2024-01-01T01:30:00,32.32,83.84,3.51,39.17
Zone01,2024-01-01T02:00:00,17.34,58.67,3.1,22.76
Zone02,2024-01-01T02:00:00,24.01,44.75,4.09,45.81
Zone03,2024-01-01T02:00:00,30.75,53.02,1.6,23.7
Zone04,2024-01-01T02:00:00,21.57,63.72,2.32,28.51
Zone05,2024-01-01T02:00:00,30.26,71.43,3.91,31.88
Zone06,2024-01-01T02:00:00,26.61,66.49,2.03,50.09
Zone07,2024-01-01T02:00:00,26.69,44.56,2.59,43.02
Zone08,2024-01-01T02:00:00,26.5,54.29,1.67,55.1
Zone09,2024-01-01T02:00:00,26.02,45.79,3.94,64.24
Zone10,2024-01-01T02:00:00,32.07,61.05,2.93,54.32
Zone11,2024-01-01T02:00:00,27.1,65.44,3.52,60.59
Zone12,2024-01-01T02:00:00,22.98,63.99,3.13,53.21
Zone01,2024-01-01T02:30:00,25.67,66.53,3.35,65.34
Zone02,2024-01-01T02:30:00,20.74,50.13,3.49,53.27
Zone03,2024-01-01T02:30:00,23.27,76.47,3.07,75.7
Zone04,2024-01-01T02:30:00,32.76,55.01,3.27,61.15
Zone05,2024-01-01T02:30:00,24.23,65.18,2.49,32.57
Zone06,2024-01-01T02:30:00,27.19,75.2,2.89,51.15
Zone07,2024-01-01T02:30:00,25.15,70.02,4.85,51.9
Zone08,2024-01-01T02:30:00,22.58,61.99,5.04,46.74
Zone09,2024-01-01T02:30:00,22.14,58.48,3.7,67.83
Zone10,2024-01-01T02:30:00,27.86,48.66,3.32,36.49
Zone11,2024-01-01T02:30:00,22.79,70.71,3.59,33.58
Zone12,2024-01-01T02:30:00,19.86,63.05,1.87,52.04
Zone01,2024-01-01T03:00:00,23.16,49.12,4.57,60.17
Zone02,2024-01-01T03:00:00,23.16,56.99,4.92,34.22
Zone03,2024-01-01T03:00:00,24.14,60.04,2.51,54.89
Zone04,2024-01-01T03:00:00,26.87,69.87,2.51,49.05
Zone05,2024-01-01T03:00:00,30.25,64.36,3.14,59.9
Zone06,2024-01-01T03:00:00,26.77,73.12,2.16,40.23
Zone07,2024-01-01T03:00:00,31.09,60.18,1.84,55.16
Zone08,2024-01-01T03:00:00,22.28,48.78,1.86,59.69
Zone09,2024-01-01T03:00:00,27.11,66.1,3.03,76.32
Zone10,2024-01-01T03:00:00,23.25,61.8,2.29,26.57
Zone11,2024-01-01T03:00:00,24.6,53.13,3.35,51.09
Zone12,2024-01-01T03:00:00,25.01,68.14,3.17,50.63
Zone01,2024-01-01T03:30:00,30.08,59.29,5.43,17.88
Zone02,2024-01-01T03:30:00,21.64,37.41,4.04,43.12
Zone03,2024-01-01T03:30:00,29.27,81.17,2.89,37.55
Zone04,2024-01-01T03:30:00,29.14,61.17,4.63,46.15
Zone05,2024-01-01T03:30:00,23.17,39.47,2.39,28.3
Zone06,2024-01-01T03:30:00,25.61,53.98,2.06,78.91
Zone07,2024-01-01T03:30:00,23.45,59.93,2.56,14.41
Zone08,2024-01-01T03:30:00,25.03,67.15,3.59,46.92
Zone09,2024-01-01T03:30:00,24.09,43.88,1.33,42.11
Zone10,2024-01-01T03:30:00,28.21,63.02,3.08,37.86
Zone11,2024-01-01T03:30:00,26.26,58.98,3.38,74.42
Zone12,2024-01-01T03:30:00,30.38,50.51,2.11,41.36
Zone01,2024-01-01T04:00:00,22.27,74.5,2.86,49.34
