task_id,timestamp,progress,progress_rate,progress_accel,quality_score
1,2024-12-14T00:00:00,0.0,0.0672,0.0008,0.8944
1,2024-12-21T00:00:00,0.6364,0.1265,0.003,0.8915
1,2024-12-25T00:00:00,1.0,0.135,0.0017,0.9039
2,2024-04-12T00:00:00,0.0,0.0389,-0.0042,0.9205
2,2024-04-19T00:00:00,0.7778,0.1388,-0.0018,0.871
2,2024-04-21T00:00:00,1.0,0.1334,0.0019,0.8598
3,2024-04-09T00:00:00,0.0,0.0948,-0.0021,0.7787
3,2024-04-16T00:00:00,0.5833,0.1077,-0.0004,0.9556
3,2024-04-21T00:00:00,1.0,0.1558,-0.0042,0.8857
4,2024-11-04T00:00:00,0.0,0.0565,-0.0108,0.9669
4,2024-11-11T00:00:00,0.7,0.1034,0.0071,0.9196
4,2024-11-14T00:00:00,1.0,0.1626,0.0057,0.9287
5,2024-07-10T00:00:00,0.0,0.0635,-0.0008,0.9186
5,2024-07-17T00:00:00,0.7,0.1083,-0.0017,0.9982
5,2024-07-20T00:00:00,1.0,0.1338,0.0008,0.9057
6,2024-01-22T00:00:00,0.0,0.0438,0.0026,0.9295
6,2024-01-29T00:00:00,0.5,0.0815,0.0005,0.8459
6,2024-02-05T00:00:00,1.0,0.1658,0.0009,0.9041
7,2024-07-06T00:00:00,0.0,0.0632,-0.0014,0.9457
7,2024-07-13T00:00:00,0.5,0.081,0.0071,0.8725
7,2024-07-20T00:00:00,1.0,0.1161,-0.0016,0.8779
8,2024-08-31T00:00:00,0.0,0.0433,0.0012,0.9549
8,2024-09-07T00:00:00,0.6364,0.1098,-0.0035,0.8437
8,2024-09-11T00:00:00,1.0,0.1406,-0.0094,0.8637
9,2024-11-02T00:00:00,0.0,0.0749,-0.0041,0.9314
9,2024-11-09T00:00:00,0.7778,0.1032,0.0089,0.9919
9,2024-11-11T00:00:00,1.0,0.1618,0.01,0.9178
10,2024-09-30T00:00:00,0.0,0.0654,0.0063,0.909
10,2024-10-07T00:00:00,0.6364,0.0826,0.0039,0.8764
10,2024-10-11T00:00:00,1.0,0.142,0.0015,0.9283
11,2024-09-21T00:00:00,0.0,0.053,0.0032,0.8647
11,2024-09-27T00:00:00,1.0,0.1491,0.0042,0.9886
12,2024-04-01T00:00:00,0.0,0.0925,0.0022,0.942
12,2024-04-08T00:00:00,0.875,0.1771,-0.0034,0.9315
12,2024-04-09T00:00:00,1.0,0.1654,0.0072,0.8431
13,2024-02-04T00:00:00,0.0,0.0312,0.0001,0.9189
13,2024-02-11T00:00:00,0.5833,0.1308,0.0026,0.8924
