task_id,inspection_date,compressive_strength_mpa,surface_flatness_mm_per_m,weld_quality_score
1,2025-01-02,22.76,1.45,
2,2024-04-19,33.95,2.35,
3,2024-04-30,35.8,1.57,
4,2024-11-17,39.18,1.48,
5,2024-07-22,22.66,2.93,
6,2024-02-12,36.56,2.05,
7,2024-07-24,35.81,1.72,
8,2024-09-21,31.69,2.38,
9,2024-11-16,32.78,2.19,
10,2024-10-17,34.47,1.75,
11,2024-09-27,37.1,2.3,
12,2024-04-16,30.2,2.34,
13,2024-02-16,37.21,1.49,
14,2024-12-30,35.9,1.55,
15,2024-11-13,35.46,2.13,
16,2024-07-29,32.15,2.06,
17,2024-07-27,33.3,3.46,
18,2024-03-09,31.1,1.92,
19,2024-06-19,34.38,1.82,
20,2024-01-22,31.35,1.83,
21,2024-03-14,35.92,2.41,
22,2024-06-20,28.04,2.42,
23,2024-08-31,30.02,3.14,
24,2024-08-02,38.15,1.38,
25,2024-03-19,33.54,1.67,
26,2024-08-12,36.74,2.04,
27,2024-04-20,46.1,1.84,
28,2024-08-21,34.26,1.19,
29,2024-08-10,35.54,1.98,
30,2024-04-15,32.32,2.46,
31,2024-01-29,27.54,2.38,
32,2024-04-01,42.85,2.25,
33,2024-05-27,32.33,2.1,
34,2024-12-28,38.33,2.09,
35,2024-10-22,28.09,2.36,
36,2024-10-04,37.71,2.14,
37,2024-11-25,46.61,1.4,
38,2024-07-11,31.91,2.08,
39,2024-04-30,32.78,2.78,
40,2024-10-08,46.8,2.23,
41,2024-04-28,38.86,1.25,
42,2024-01-08,30.02,1.93,
43,2024-05-10,37.41,2.36,
44,2024-06-28,27.43,2.62,
45,2024-08-03,38.73,2.17,
46,2024-04-20,31.7,1.89,
47,2024-07-27,28.81,2.19,
48,2024-06-04,32.96,1.28,
49,2024-06-13,24.24,2.36,
50,2024-05-22,25.36,2.78,
51,2024-06-15,20.05,2.11,
52,2024-05-03,33.81,2.03,
53,2024-01-08,31.02,1.57,
54,2024-01-17,42.17,1.79,
55,2024-06-14,32.8,1.66,
56,2024-05-04,37.89,2.56,
57,2024-04-23,42.07,2.15,
58,2024-06-08,34.29,1.92,
59,2024-11-16,37.87,2.1,
60,2024-03-12,35.88,2.87,
61,2024-05-23,35.32,1.8,
62,2024-02-03,35.34,1.75,
63,2024-09-25,32.8,1.53,
64,2024-10-16,39.45,2.74,
65,2024-01-08,39.99,2.21,
66,2024-01-20,30.28,0.82,
67,2024-12-25,40.67,2.03,
68,2024-05-05,32.73,2.67,
69,2024-05-18,27.92,2.79,
70,2024-03-12,22.48,2.62,
71,2024-06-06,44.83,2.02,
72,2024-04-21,34.45,2.57,
73,2024-07-11,36.24,2.97,
74,2024-11-10,30.5,2.53,
75,2024-11-23,40.58,2.26,
76,2024-06-02,33.03,1.87,
77,2024-12-01,39.66,2.71,
78,2024-07-23,34.23,2.35,
79,2024-12-19,24.85,2.0,
80,2024-10-11,38.05,1.8,
81,2024-03-07,41.23,2.18,
82,2024-12-28,38.03,3.35,
83,2024-05-07,26.55,2.22,
84,2024-11-29,33.92,1.91,
85,2024-05-11,31.62,1.29,
86,2024-05-13,31.31,1.99,
87,2024-02-29,35.07,2.88,
88,2024-10-12,26.3,1.93,
89,2024-12-27,40.73,1.91,
90,2024-06-07,34.69,1.97,
91,2024-02-23,33.54,2.98,
92,2024-12-24,33.32,2.39,
93,2024-02-02,38.69,2.57,
94,2024-10-24,21.85,1.76,
95,2024-11-27,25.69,2.17,
96,2024-06-13,42.55,2.72,
97,2024-06-15,37.01,2.54,
