resource_id,timestamp,status,assigned_task_id
R0001,2024-01-01T00:00:00,busy,323.0
R0001,2024-01-01T00:30:00,available,
R0001,2024-01-01T01:00:00,available,
R0001,2024-01-01T01:30:00,busy,757.0
R0001,2024-01-01T02:00:00,available,
R0001,2024-01-01T02:30:00,busy,20.0
R0001,2024-01-01T03:00:00,available,
R0001,2024-01-01T03:30:00,busy,415.0
R0001,2024-01-01T04:00:00,available,
R0001,2024-01-01T04:30:00,busy,114.0
R0001,2024-01-01T05:00:00,busy,160.0
R0001,2024-01-01T05:30:00,busy,593.0
R0001,2024-01-01T06:00:00,available,
R0001,2024-01-01T06:30:00,busy,331.0
R0001,2024-01-01T07:00:00,busy,239.0
R0001,2024-01-01T07:30:00,busy,268.0
R0001,2024-01-01T08:00:00,available,
R0001,2024-01-01T08:30:00,busy,406.0
R0001,2024-01-01T09:00:00,available,
R0001,2024-01-01T09:30:00,busy,665.0
R0001,2024-01-01T10:00:00,available,
R0001,2024-01-01T10:30:00,available,
R0001,2024-01-01T11:00:00,busy,338.0
R0001,2024-01-01T11:30:00,busy,198.0
R0001,2024-01-01T12:00:00,busy,87.0
R0001,2024-01-01T12:30:00,busy,314.0
R0001,2024-01-01T13:00:00,busy,473.0
R0001,2024-01-01T13:30:00,available,
R0001,2024-01-01T14:00:00,busy,300.0
R0001,2024-01-01T14:30:00,available,
R0001,2024-01-01T15:00:00,available,
R0001,2024-01-01T15:30:00,busy,100.0
R0001,2024-01-01T16:00:00,busy,452.0
R0001,2024-01-01T16:30:00,busy,325.0
R0001,2024-01-01T17:00:00,available,
R0001,2024-01-01T17:30:00,busy,555.0
R0001,2024-01-01T18:00:00,available,
R0001,2024-01-01T18:30:00,busy,231.0
R0001,2024-01-01T19:00:00,available,
R0001,2024-01-01T19:30:00,busy,543.0
R0001,2024-01-01T20:00:00,busy,380.0
R0001,2024-01-01T20:30:00,available,
R0001,2024-01-01T21:00:00,available,
R0001,2024-01-01T21:30:00,busy,752.0
R0001,2024-01-01T22:00:00,busy,423.0
