resource_id,resource_type
R0001,excavator
R0002,excavator
R0003,excavator
R0004,excavator
R0005,excavator
R0006,excavator
R0007,excavator
R0008,excavator
R0009,concrete_pump_truck
R0010,concrete_pump_truck
R0011,concrete_pump_truck
R0012,concrete_pump_truck
R0013,steel_reinforcement_worker
R0014,steel_reinforcement_worker
R0015,steel_reinforcement_worker
R0016,steel_reinforcement_worker
R0017,steel_reinforcement_worker
R0018,steel_reinforcement_worker
R0019,steel_reinforcement_worker
R0020,steel_reinforcement_worker
R0021,steel_reinforcement_worker
R0022,steel_reinforcement_worker
R0023,steel_reinforcement_worker
R0024,steel_reinforcement_worker
R0025,steel_reinforcement_worker
R0026,steel_reinforcement_worker
R0027,steel_reinforcement_worker
R0028,steel_reinforcement_worker
R0029,steel_reinforcement_worker
R0030,steel_reinforcement_worker
R0031,steel_reinforcement_worker
R0032,steel_reinforcement_worker
R0033,steel_reinforcement_worker
R0034,steel_reinforcement_worker
R0035,steel_reinforcement_worker
R0036,steel_reinforcement_worker
R0037,steel_reinforcement_worker
R0038,steel_reinforcement_worker
R0039,steel_reinforcement_worker
R0040,steel_reinforcement_worker
R0041,steel_reinforcement_worker
R0042,steel_reinforcement_worker
R0043,steel_reinforcement_worker
R0044,steel_reinforcement_worker
R0045,steel_reinforcement_worker
R0046,steel_reinforcement_worker
R0047,steel_reinforcement_worker
R0048,steel_reinforcement_worker
R0049,steel_reinforcement_worker
R0050,steel_reinforcement_worker
R0051,steel_reinforcement_worker
R0052,steel_reinforcement_worker
R0053,steel_reinforcement_worker
R0054,steel_reinforcement_worker
R0055,steel_reinforcement_worker
R0056,steel_reinforcement_worker
R0057,steel_reinforcement_worker
R0058,steel_reinforcement_worker
R0059,steel_reinforcement_worker
R0060,steel_reinforcement_worker
R0061,steel_reinforcement_worker
R0062,steel_reinforcement_worker
R0063,steel_reinforcement_worker
R0064,steel_reinforcement_worker
R0065,steel_reinforcement_worker
R0066,steel_reinforcement_worker
R0067,steel_reinforcement_worker
R0068,steel_reinforcement_worker
R0069,steel_reinforcement_worker
R0070,steel_reinforcement_worker
R0071,steel_reinforcement_worker
R0072,steel_reinforcement_worker
R0073,steel_reinforcement_worker
R0074,steel_reinforcement_worker
R0075,steel_reinforcement_worker
R0076,steel_reinforcement_worker
R0077,steel_reinforcement_worker
R0078,steel_reinforcement_worker
R0079,steel_reinforcement_worker
R0080,steel_reinforcement_worker
R0081,steel_reinforcement_worker
R0082,steel_reinforcement_worker
R0083,steel_reinforcement_worker
R0084,steel_reinforcement_worker
R0085,steel_reinforcement_worker
R0086,steel_reinforcement_worker
R0087,steel_reinforcement_worker
R0088,steel_reinforcement_worker
R0089,steel_reinforcement_worker
R0090,steel_reinforcement_worker
R0091,steel_reinforcement_worker
R0092,steel_reinforcement_worker
R0093,steel_reinforcement_worker
R0094,steel_reinforcement_worker
R0095,steel_reinforcement_worker
R0096,steel_reinforcement_worker
R0097,steel_reinforcement_worker
R0098,steel_reinforcement_worker
R0099,steel_reinforcement_worker
R0100,steel_reinforcement_worker
R0101,steel_reinforcement_worker
R0102,steel_reinforcement_worker
R0103,steel_reinforcement_worker
R0104,steel_reinforcement_worker
R0105,steel_reinforcement_worker
R0106,steel_reinforcement_worker
R0107,steel_reinforcement_worker
R0108,steel_reinforcement_worker
R0109,steel_reinforcement_worker
R0110,steel_reinforcement_worker
R0111,steel_reinforcement_worker
R0112,steel_reinforcement_worker
R0113,steel_reinforcement_worker
R0114,steel_reinforcement_worker
R0115,steel_reinforcement_worker
R0116,steel_reinforcement_worker
R0117,steel_reinforcement_worker
R0118,steel_reinforcement_worker
R0119,steel_reinforcement_worker
R0120,steel_reinforcement_worker
R0121,steel_reinforcement_worker
R0122,steel_reinforcement_worker
R0123,steel_reinforcement_worker
R0124,steel_reinforcement_worker
R0125,steel_reinforcement_worker
R0126,steel_reinforcement_worker
R0127,steel_reinforcement_worker
R0128,steel_reinforcement_worker
R0129,steel_reinforcement_worker
R0130,steel_reinforcement_worker
R0131,steel_reinforcement_worker
R0132,steel_reinforcement_worker
R0133,tower_crane
R0134,tower_crane
R0135,tower_crane
R0136,tower_crane
R0137,tower_crane
R0138,tower_crane
R0139,formwork_system
R0140,formwork_system
R0141,formwork_system
R0142,concrete_pump
R0143,concrete_pump
R0144,concrete_pump
R0145,concrete_pump
R0146,concrete_pump
R0147,concrete_pump
R0148,concrete_pump
R0149,concrete_pump
R0150,concrete_pump
R0151,concrete_pump
R0152,concrete_pump
R0153,concrete_pump
R0154,crawler_crane
R0155,crawler_crane
R0156,truck_crane
R0157,truck_crane
R0158,truck_crane
R0159,truck_crane
R0160,welder
R0161,welder
R0162,welder
R0163,welder
R0164,welder
R0165,welder
R0166,welder
R0167,welder
R0168,welder
R0169,welder
R0170,welder
R0171,welder
R0172,welder
R0173,welder
R0174,welder
R0175,welder
R0176,welder
R0177,welder
R0178,welder
R0179,welder
R0180,welder
R0181,welder
R0182,welder
R0183,welder
R0184,welder
R0185,welder
R0186,welder
R0187,welder
R0188,welder
R0189,welder
R0190,welder
R0191,welder
R0192,welder
R0193,welder
R0194,welder
R0195,welder
R0196,welder
R0197,welder
R0198,welder
R0199,welder
R0200,welder
R0201,welder
R0202,welder
R0203,welder
R0204,welder
R0205,welder
R0206,welder
R0207,welder
R0208,welder
R0209,welder
R0210,welder
R0211,welder
R0212,welder
R0213,welder
R0214,welder
R0215,welder
R0216,welder
R0217,welder
R0218,welder
R0219,welder
R0220,welder
R0221,welder
R0222,welder
R0223,welder
R0224,welder
R0225,welder
R0226,welder
R0227,welder
R0228,welder
R0229,welder
R0230,welder
R0231,welder
R0232,welder
R0233,welder
R0234,welder
R0235,welder
R0236,welder
R0237,welder
R0238,welder
R0239,welder
