sensor_id,timestamp,measurement_type,value
SHT001,2024-01-01T00:00:00,temperature,22.65
SHT001,2024-01-01T00:00:00,humidity,66.89
SHT002,2024-01-01T00:00:00,temperature,22.17
SHT002,2024-01-01T00:00:00,humidity,67.49
SHT003,2024-01-01T00:00:00,temperature,25.1
SHT003,2024-01-01T00:00:00,humidity,62.68
SHT004,2024-01-01T00:00:00,temperature,22.91
SHT004,2024-01-01T00:00:00,humidity,63.58
SHT005,2024-01-01T00:00:00,temperature,23.21
SHT005,2024-01-01T00:00:00,humidity,55.86
SHT006,2024-01-01T00:00:00,temperature,20.45
SHT006,2024-01-01T00:00:00,humidity,52.28
SHT007,2024-01-01T00:00:00,temperature,23.42
SHT007,2024-01-01T00:00:00,humidity,63.13
SHT008,2024-01-01T00:00:00,temperature,26.79
SHT008,2024-01-01T00:00:00,humidity,53.92
SHT009,2024-01-01T00:00:00,temperature,24.51
SHT009,2024-01-01T00:00:00,humidity,76.86
SHT010,2024-01-01T00:00:00,temperature,25.39
SHT010,2024-01-01T00:00:00,humidity,54.63
SHT011,2024-01-01T00:00:00,temperature,19.96
SHT011,2024-01-01T00:00:00,humidity,51.46
SHT012,2024-01-01T00:00:00,temperature,22.32
SHT012,2024-01-01T00:00:00,humidity,79.78
SHT013,2024-01-01T00:00:00,temperature,22.45
SHT013,2024-01-01T00:00:00,humidity,60.51
SHT014,2024-01-01T00:00:00,temperature,26.11
SHT014,2024-01-01T00:00:00,humidity,71.07
SHT015,2024-01-01T00:00:00,temperature,25.02
SHT015,2024-01-01T00:00:00,humidity,54.9
SHT016,2024-01-01T00:00:00,temperature,23.27
SHT016,2024-01-01T00:00:00,humidity,63.56
SHT017,2024-01-01T00:00:00,temperature,22.95
SHT017,2024-01-01T00:00:00,humidity,48.96
SHT018,2024-01-01T00:00:00,temperature,23.47
SHT018,2024-01-01T00:00:00,humidity,46.76
SHT019,2024-01-01T00:00:00,temperature,30.55
SHT019,2024-01-01T00:00:00,humidity,65.97
SHT020,2024-01-01T00:00:00,temperature,29.86
SHT020,2024-01-01T00:00:00,humidity,64.85
SHT021,2024-01-01T00:00:00,temperature,29.57
SHT021,2024-01-01T00:00:00,humidity,63.67
SHT022,2024-01-01T00:00:00,temperature,27.18
SHT022,2024-01-01T00:00:00,humidity,38.66
SHT023,2024-01-01T00:00:00,temperature,22.26
SHT023,2024-01-01T00:00:00,humidity,60.37
SHT024,2024-01-01T00:00:00,temperature,25.18
SHT024,2024-01-01T00:00:00,humidity,59.24
SHT025,2024-01-01T00:00:00,temperature,26.36
SHT025,2024-01-01T00:00:00,humidity,64.94
SHT026,2024-01-01T00:00:00,temperature,27.6
SHT026,2024-01-01T00:00:00,humidity,66.69
SHT027,2024-01-01T00:00:00,temperature,28.61
SHT027,2024-01-01T00:00:00,humidity,72.12
SHT028,2024-01-01T00:00:00,temperature,25.52
SHT028,2024-01-01T00:00:00,humidity,80.82
SHT029,2024-01-01T00:00:00,temperature,29.08
SHT029,2024-01-01T00:00:00,humidity,51.93
SHT030,2024-01-01T00:00:00,temperature,26.18
SHT030,2024-01-01T00:00:00,humidity,41.57
SHT031,2024-01-01T00:00:00,temperature,19.98
SHT031,2024-01-01T00:00:00,humidity,55.01
SHT032,2024-01-01T00:00:00,temperature,22.37
SHT032,2024-01-01T00:00:00,humidity,55.07
SHT033,2024-01-01T00:00:00,temperature,25.99
SHT033,2024-01-01T00:00:00,humidity,72.25
SHT034,2024-01-01T00:00:00,temperature,28.52
SHT034,2024-01-01T00:00:00,humidity,64.13
SHT035,2024-01-01T00:00:00,temperature,21.74
SHT035,2024-01-01T00:00:00,humidity,54.43
SHT036,2024-01-01T00:00:00,temperature,26.91
SHT036,2024-01-01T00:00:00,humidity,51.74
SHT037,2024-01-01T00:00:00,temperature,21.2
SHT037,2024-01-01T00:00:00,humidity,64.92
SHT038,2024-01-01T00:00:00,temperature,24.85
SHT038,2024-01-01T00:00:00,humidity,57.89
SHT039,2024-01-01T00:00:00,temperature,28.33
SHT039,2024-01-01T00:00:00,humidity,70.89
SHT040,2024-01-01T00:00:00,temperature,30.34
SHT040,2024-01-01T00:00:00,humidity,53.49
SHT041,2024-01-01T00:00:00,temperature,26.29
SHT041,2024-01-01T00:00:00,humidity,60.19
SHT042,2024-01-01T00:00:00,temperature,26.01
SHT042,2024-01-01T00:00:00,humidity,48.66
SHT043,2024-01-01T00:00:00,temperature,20.79
SHT043,2024-01-01T00:00:00,humidity,59.6
SHT044,2024-01-01T00:00:00,temperature,22.47
SHT044,2024-01-01T00:00:00,humidity,69.38
SHT045,2024-01-01T00:00:00,temperature,20.5
SHT045,2024-01-01T00:00:00,humidity,45.82
SHT046,2024-01-01T00:00:00,temperature,23.75
SHT046,2024-01-01T00:00:00,humidity,44.62
SHT047,2024-01-01T00:00:00,temperature,30.03
SHT047,2024-01-01T00:00:00,humidity,58.17
SHT048,2024-01-01T00:00:00,temperature,23.19
SHT048,2024-01-01T00:00:00,humidity,64.68
SHT049,2024-01-01T00:00:00,temperature,27.65
SHT049,2024-01-01T00:00:00,humidity,62.07
SHT050,2024-01-01T00:00:00,temperature,24.8
SHT050,2024-01-01T00:00:00,humidity,50.17
SHT051,2024-01-01T00:00:00,temperature,26.89
SHT051,2024-01-01T00:00:00,humidity,74.17
SHT052,2024-01-01T00:00:00,temperature,24.34
SHT052,2024-01-01T00:00:00,humidity,51.51
SHT053,2024-01-01T00:00:00,temperature,25.54
SHT053,2024-01-01T00:00:00,humidity,60.03
SHT054,2024-01-01T00:00:00,temperature,21.35
SHT054,2024-01-01T00:00:00,humidity,54.97
SHT055,2024-01-01T00:00:00,temperature,30.37
SHT055,2024-01-01T00:00:00,humidity,46.52
SHT056,2024-01-01T00:00:00,temperature,22.93
SHT056,2024-01-01T00:00:00,humidity,50.51
SHT057,2024-01-01T00:00:00,temperature,22.42
SHT057,2024-01-01T00:00:00,humidity,55.55
SHT058,2024-01-01T00:00:00,temperature,26.35
SHT058,2024-01-01T00:00:00,humidity,73.09
SHT059,2024-01-01T00:00:00,temperature,25.61
SHT059,2024-01-01T00:00:00,humidity,53.16
SHT060,2024-01-01T00:00:00,temperature,29.62
SHT060,2024-01-01T00:00:00,humidity,39.31
SHT061,2024-01-01T00:00:00,temperature,27.02
SHT061,2024-01-01T00:00:00,humidity,49.73
SHT062,2024-01-01T00:00:00,temperature,24.85
SHT062,2024-01-01T00:00:00,humidity,65.63
SHT063,2024-01-01T00:00:00,temperature,20.18
SHT063,2024-01-01T00:00:00,humidity,61.42
SHT064,2024-01-01T00:00:00,temperature,25.66
SHT064,2024-01-01T00:00:00,humidity,74.62
SHT065,2024-01-01T00:00:00,temperature,33.15
