sensor_id,sensor_type
SHT001,temp_humidity
SHT002,temp_humidity
SHT003,temp_humidity
SHT004,temp_humidity
SHT005,temp_humidity
SHT006,temp_humidity
SHT007,temp_humidity
SHT008,temp_humidity
SHT009,temp_humidity
SHT010,temp_humidity
SHT011,temp_humidity
SHT012,temp_humidity
SHT013,temp_humidity
SHT014,temp_humidity
SHT015,temp_humidity
SHT016,temp_humidity
SHT017,temp_humidity
SHT018,temp_humidity
SHT019,temp_humidity
SHT020,temp_humidity
SHT021,temp_humidity
SHT022,temp_humidity
SHT023,temp_humidity
SHT024,temp_humidity
SHT025,temp_humidity
SHT026,temp_humidity
SHT027,temp_humidity
SHT028,temp_humidity
SHT029,temp_humidity
SHT030,temp_humidity
SHT031,temp_humidity
SHT032,temp_humidity
SHT033,temp_humidity
SHT034,temp_humidity
SHT035,temp_humidity
SHT036,temp_humidity
SHT037,temp_humidity
SHT038,temp_humidity
SHT039,temp_humidity
SHT040,temp_humidity
SHT041,temp_humidity
SHT042,temp_humidity
SHT043,temp_humidity
SHT044,temp_humidity
SHT045,temp_humidity
SHT046,temp_humidity
SHT047,temp_humidity
SHT048,temp_humidity
SHT049,temp_humidity
SHT050,temp_humidity
SHT051,temp_humidity
SHT052,temp_humidity
SHT053,temp_humidity
SHT054,temp_humidity
SHT055,temp_humidity
SHT056,temp_humidity
SHT057,temp_humidity
SHT058,temp_humidity
SHT059,temp_humidity
SHT060,temp_humidity
SHT061,temp_humidity
SHT062,temp_humidity
SHT063,temp_humidity
SHT064,temp_humidity
SHT065,temp_humidity
SHT066,temp_humidity
SHT067,temp_humidity
SHT068,temp_humidity
SHT069,temp_humidity
SHT070,temp_humidity
SHT071,temp_humidity
SHT072,temp_humidity
SHT073,temp_humidity
SHT074,temp_humidity
SHT075,temp_humidity
SHT076,temp_humidity
SHT077,temp_humidity
SHT078,temp_humidity
SHT079,temp_humidity
SHT080,temp_humidity
SHT081,temp_humidity
SHT082,temp_humidity
SHT083,temp_humidity
SHT084,temp_humidity
SHT085,temp_humidity
SHT086,temp_humidity
SHT087,temp_humidity
SHT088,temp_humidity
SHT089,temp_humidity
SHT090,temp_humidity
SHT091,temp_humidity
SHT092,temp_humidity
SHT093,temp_humidity
SHT094,temp_humidity
SHT095,temp_humidity
SHT096,temp_humidity
SHT097,temp_humidity
SHT098,temp_humidity
SHT099,temp_humidity
SHT100,temp_humidity
SHT101,temp_humidity
SHT102,temp_humidity
SHT103,temp_humidity
SHT104,temp_humidity
SHT105,temp_humidity
SHT106,temp_humidity
SHT107,temp_humidity
SHT108,temp_humidity
SHT109,temp_humidity
SHT110,temp_humidity
SHT111,temp_humidity
SHT112,temp_humidity
SHT113,temp_humidity
SHT114,temp_humidity
SHT115,temp_humidity
SHT116,temp_humidity
SHT117,temp_humidity
SHT118,temp_humidity
SHT119,temp_humidity
SHT120,temp_humidity
SHT121,temp_humidity
SHT122,temp_humidity
SHT123,temp_humidity
SHT124,temp_humidity
SHT125,temp_humidity
SHT126,temp_humidity
SHT127,temp_humidity
SHT128,temp_humidity
SHT129,temp_humidity
SHT130,temp_humidity
SHT131,temp_humidity
SHT132,temp_humidity
SHT133,temp_humidity
SHT134,temp_humidity
SHT135,temp_humidity
SHT136,temp_humidity
SHT137,temp_humidity
SHT138,temp_humidity
SHT139,temp_humidity
SHT140,temp_humidity
SHT141,temp_humidity
SHT142,temp_humidity
SHT143,temp_humidity
SHT144,temp_humidity
SHT145,temp_humidity
SHT146,temp_humidity
SHT147,temp_humidity
SHT148,temp_humidity
SHT149,temp_humidity
SHT150,temp_humidity
VIB001,vibration
VIB002,vibration
VIB003,vibration
VIB004,vibration
VIB005,vibration
VIB006,vibration
VIB007,vibration
VIB008,vibration
VIB009,vibration
VIB010,vibration
VIB011,vibration
VIB012,vibration
VIB013,vibration
VIB014,vibration
VIB015,vibration
VIB016,vibration
VIB017,vibration
VIB018,vibration
VIB019,vibration
VIB020,vibration
VIB021,vibration
VIB022,vibration
VIB023,vibration
VIB024,vibration
VIB025,vibration
VIB026,vibration
VIB027,vibration
VIB028,vibration
VIB029,vibration
VIB030,vibration
VIB031,vibration
VIB032,vibration
VIB033,vibration
VIB034,vibration
VIB035,vibration
VIB036,vibration
VIB037,vibration
VIB038,vibration
VIB039,vibration
VIB040,vibration
VIB041,vibration
VIB042,vibration
VIB043,vibration
VIB044,vibration
VIB045,vibration
VIB046,vibration
VIB047,vibration
VIB048,vibration
VIB049,vibration
VIB050,vibration
VIB051,vibration
VIB052,vibration
VIB053,vibration
VIB054,vibration
VIB055,vibration
VIB056,vibration
VIB057,vibration
VIB058,vibration
VIB059,vibration
VIB060,vibration
VIB061,vibration
VIB062,vibration
VIB063,vibration
VIB064,vibration
VIB065,vibration
VIB066,vibration
VIB067,vibration
VIB068,vibration
VIB069,vibration
VIB070,vibration
VIB071,vibration
VIB072,vibration
VIB073,vibration
VIB074,vibration
VIB075,vibration
VIB076,vibration
VIB077,vibration
VIB078,vibration
VIB079,vibration
VIB080,vibration
DIS001,displacement
DIS002,displacement
DIS003,displacement
DIS004,displacement
DIS005,displacement
DIS006,displacement
DIS007,displacement
DIS008,displacement
DIS009,displacement
DIS010,displacement
DIS011,displacement
DIS012,displacement
DIS013,displacement
DIS014,displacement
DIS015,displacement
DIS016,displacement
DIS017,displacement
DIS018,displacement
DIS019,displacement
DIS020,displacement
DIS021,displacement
DIS022,displacement
DIS023,displacement
DIS024,displacement
DIS025,displacement
DIS026,displacement
DIS027,displacement
DIS028,displacement
DIS029,displacement
DIS030,displacement
DIS031,displacement
DIS032,displacement
DIS033,displacement
DIS034,displacement
DIS035,displacement
DIS036,displacement
DIS037,displacement
DIS038,displacement
DIS039,displacement
DIS040,displacement
DIS041,displacement
DIS042,displacement
DIS043,displacement
DIS044,displacement
DIS045,displacement
DIS046,displacement
DIS047,displacement
DIS048,displacement
DIS049,displacement
DIS050,displacement
DIS051,displacement
DIS052,displacement
DIS053,displacement
DIS054,displacement
DIS055,displacement
DIS056,displacement
DIS057,displacement
DIS058,displacement
DIS059,displacement
DIS060,displacement
